DOMOVERWDEG
DOMOVERWDEGREF
CHS
IMPACT
RANDOM
MINDDOM
MAXDDOM
MINDOM
MAXDOM
nom;nbSolDOMOVERWDEG;nbVarsDOMOVERWDEG;nbCstrsDOMOVERWDEG;tempsDOMOVERWDEG;nbSolDOMOVERWDEGREF;nbVarsDOMOVERWDEGREF;nbCstrsDOMOVERWDEGREF;tempsDOMOVERWDEGREF;nbSolCHS;nbVarsCHS;nbCstrsCHS;tempsCHS;nbSolIMPACT;nbVarsIMPACT;nbCstrsIMPACT;tempsIMPACT;nbSolRANDOM;nbVarsRANDOM;nbCstrsRANDOM;tempsRANDOM;nbSolMINDDOM;nbVarsMINDDOM;nbCstrsMINDDOM;tempsMINDDOM;nbSolMAXDDOM;nbVarsMAXDDOM;nbCstrsMAXDDOM;tempsMAXDDOM;nbSolMINDOM;nbVarsMINDOM;nbCstrsMINDOM;tempsMINDOM;nbSolMAXDOM;nbVarsMAXDOM;nbCstrsMAXDOM;tempsMAXDOM;
AztecDiamond-025_c22;1;1300;1301;0,0689;1;1300;1301;0,0436;1;1300;1301;0,2574;0;1300;1301;3600,002;1;1300;1301;0,0321;1;1300;1301;0,0426;0;1300;1301;3600,0012;1;1300;1301;0,0283;1;1300;1301;0,0112;
AztecDiamond-050_c22;1;5100;5101;0,0851;1;5100;5101;0,0459;1;5100;5101;1,9735;0;5100;5101;3600,001;1;5100;5101;0,101;1;5100;5101;0,0701;0;5100;5101;3600,001;1;5100;5101;0,1058;1;5100;5101;0,0982;
AztecDiamond-075_c22;1;11400;11401;0,1755;1;11400;11401;0,2018;1;11400;11401;1,8035;0;11400;11401;3600,0034;1;11400;11401;0,4132;1;11400;11401;0,2851;0;11400;11401;3600,0017;1;11400;11401;0,4602;1;11400;11401;0,4281;
AztecDiamond-100_c22;1;20200;20201;0,4366;1;20200;20201;0,4961;1;20200;20201;11,1371;0;20200;20201;3600,0017;1;20200;20201;1,4155;1;20200;20201;0,8946;0;20200;20201;3600,001;1;20200;20201;1,3172;1;20200;20201;1,3094;
AztecDiamond-150_c22;1;45300;45301;1,9342;1;45300;45301;1,9446;1;45300;45301;14,9079;0;45300;45301;3600,0051;1;45300;45301;6,2097;1;45300;45301;3,9963;0;45300;45301;3600,0027;1;45300;45301;5,6181;1;45300;45301;6,521;
AztecDiamond-200_c22;1;80400;80401;14,562;1;80400;80401;16,7092;1;80400;80401;64,6973;0;80400;80401;3600,0017;1;80400;80401;49,768;1;80400;80401;14,8964;0;80400;80401;3600,004;1;80400;80401;44,9797;1;80400;80401;57,6492;
AztecDiamond-250_c22;1;125500;125501;46,4486;1;125500;125501;35,6737;1;125500;125501;70,86;0;125500;125501;3600,0103;1;125500;125501;167,9124;1;125500;125501;89,2987;0;125500;125501;3600,0078;1;125500;125501;198,8308;1;125500;125501;196,8833;
AztecDiamond-300_c22;1;180600;180601;82,2612;1;180600;180601;85,8492;1;180600;180601;217,1208;0;180600;180601;3600,0068;1;180600;180601;409,8335;1;180600;180601;250,9303;0;180600;180601;3600,003;1;180600;180601;448,2706;1;180600;180601;445,0384;
BlockedQueens-28-1449787798_c22;0;28;975;0,3312;0;28;975;0,2143;0;28;975;1,4768;0;28;975;0,0672;0;28;975;0,1899;0;28;975;0,0517;0;28;975;0,0521;0;28;975;0,1721;0;28;975;0,1703;
BlockedQueens-28-1449787894_c22;1;28;975;0,0495;1;28;975;0,0647;1;28;975;1,1107;1;28;975;0,0134;1;28;975;0,6562;1;28;975;0,0848;1;28;975;0,013;1;28;975;0,7968;1;28;975;0,716;
BlockedQueens-48-1721237620_c22;0;48;3092;212,1813;0;48;3092;198,5846;0;48;3092;2256,9534;0;48;3092;246,6778;0;48;3092;3600,001;0;48;3092;323,6748;0;48;3092;222,3229;0;48;3092;3600,001;0;48;3092;3600,0015;
BlockedQueens-48-1721237798_c22;0;48;3092;11,83;0;48;3092;11,6934;0;48;3092;197,8564;0;48;3092;11,6852;0;48;3092;1918,4644;0;48;3092;14,7193;0;48;3092;11,5378;0;48;3092;1975,2753;0;48;3092;1707,9496;
BlockedQueens-50-1642398261_c22;1;50;3369;11,1118;1;50;3369;11,1428;1;50;3369;748,8468;1;50;3369;198,765;1;50;3369;1037,6335;1;50;3369;11,937;1;50;3369;226,6881;1;50;3369;1211,8058;1;50;3369;1124,0287;
BlockedQueens-50-1642399343_c22;0;50;3369;98,1913;0;50;3369;81,4335;0;50;3369;701,3209;0;50;3369;76,4414;0;50;3369;2770,9622;0;50;3369;115,4411;0;50;3369;95,5373;0;50;3369;2317,2683;0;50;3369;2716,2742;

